à	0.0687988
á	0.0147697
â	0.0379514
ã	0.0163762
ä	0.0252194
å	0.0687586
æ	0.00858321
ç	0.0142984
è	0.0555678
é	0.00971059
ê	0.0289689
ë	0.0424672
ì	0.0248853
í	0.0548799
î	0.0955213
ï	0.0219176
ð	0.0374149
ñ	0.0439422
ò	0.0487539
ó	0.0233712
ô	0.00164409
õ	0.00717242
ö	0.0029792
÷	0.0122493
ø	0.0077001
ù	0.00241864
û	0.0160464
ü	0.0164221
ý	0.00266917
þ	0.00524649
ÿ	0.0184895
 	0.163965


4.37129
0.125743

	8.87289e-06	0.000621624	0.0030909	0.00077142	0.00201415	0.000863802	0.00108093	0.00364989	0.000159712	0.000743235	0.00436338	0.00882696	0.00269893	0.00478614	9.91676e-06	0.000826223	0.00279235	0.00352619	0.00483259	0.000107519	0.000434772	0.000985413	7.82902e-05	0.000744279	0.00118114	0.000211906	0	0	1.04387e-06	0.00078499	0.00236436	0.0162379
	0.00102612	1.5658e-06	6.4198e-05	8.87289e-06	1.93116e-05	0.00209922	4.69741e-06	5.21935e-07	0.000720792	0	0.0002213	0.000745845	3.75793e-05	0.000283933	0.00215663	0	0.00110963	9.08167e-05	5.74128e-06	0.00113991	0	6.00225e-05	6.78515e-06	1.87897e-05	5.74128e-06	0.000174848	0.00392808	4.48864e-05	0	5.74128e-06	0.000435816	0.000244787
	0.00546205	1.20045e-05	5.21935e-05	4.43645e-05	0.000254182	0.00437851	5.21935e-07	0.000460868	0.00302722	5.21935e-07	0.000138313	0.000912342	0.00011587	0.00111537	0.0070957	0.000279757	0.000572041	0.00309038	0.000204077	0.000733318	5.21935e-07	4.12329e-05	1.35703e-05	4.85399e-05	0.00102404	5.21935e-06	0.00249119	0.000141444	5.21935e-07	1.04387e-06	0.000212427	0.00600956
	0.000907645	0	4.59303e-05	0	0.00095775	0.000505755	1.04387e-06	5.21935e-07	0.000687388	0	8.45534e-05	0.0014776	5.21935e-06	0.000245309	0.00881652	0	0.00116809	5.74128e-05	3.65354e-06	0.000643546	0	0	0	2.97503e-05	4.17548e-06	0	0	0	0	0	0	0.000729143
	0.00410867	3.86232e-05	0.000885201	3.13161e-06	3.81012e-05	0.00435137	1.14826e-05	3.65354e-06	0.00237533	0	0.000217647	0.000670686	7.82902e-05	0.00158146	0.00354863	8.19438e-05	0.00203346	0.000305332	0.00027506	0.00159242	3.65354e-06	4.69741e-05	0.000152405	2.81845e-05	0.000115348	0	0.000555861	0.000421723	5.21935e-07	5.01057e-05	0.000395627	0.00106997
	2.87064e-05	0.00106057	0.00133459	0.00342076	0.00243639	0.00153814	0.000952531	0.00121298	0.000148751	0.00240142	0.00102717	0.00604296	0.00390981	0.00695322	0.000386232	0.000931132	0.00651531	0.00365563	0.00370365	6.99393e-05	1.5658e-05	0.000965579	0.000297503	0.000919127	0.000685822	0.000630497	0	0	0	0.000298547	0.000381534	0.016834
	0.00127248	6.52419e-05	0	1.618e-05	0.000663901	0.00358674	1.30484e-05	0	0.00120149	0	8.87289e-05	9.39483e-06	8.35096e-06	0.0010851	5.48032e-05	0	2.08774e-06	1.72238e-05	0	0.000163366	0	0	5.21935e-07	5.21935e-05	0	0	0	3.28819e-05	5.21935e-07	2.92284e-05	0	0.000219213
	0.00504398	0.000145098	0.000751064	0.00039928	0.0007067	0.000299591	0.000132571	6.05444e-05	0.000339258	0	0.000128396	0.000216081	0.000244787	0.00160077	0.000546988	2.60967e-05	0.000186853	0.000126308	1.51361e-05	0.000267753	0	0	4.69741e-06	1.46142e-05	8.35096e-06	0	0.000502623	0.000767766	0	9.70799e-05	0.000465566	0.00118636
	9.81237e-05	0.000423289	0.00241082	0.000481746	0.0015585	0.00228921	0.000306898	0.00175788	0.000663379	0.00129649	0.00188471	0.00488479	0.00275686	0.00301991	0.000247919	0.000199901	0.000598659	0.00275999	0.00320781	7.82902e-06	3.65354e-05	0.00153397	0.00108354	0.00122811	0.000370574	0.000119523	0	0	5.21935e-07	0.000294371	0.00156789	0.0184781
	5.21935e-07	1.04387e-05	0	2.08774e-06	0.000150317	4.69741e-06	0	0	0	0	6.78515e-05	9.02947e-05	3.9667e-05	0.000381534	7.82902e-06	1.04387e-06	1.67019e-05	0.000597615	0.000272972	0	2.60967e-06	0	4.17548e-05	7.09831e-05	0.000102821	1.04387e-06	0	0	0	0	1.04387e-06	0.00784677
